buxom	8 (7) 
buyer	7 (12) 
bylaw	7 (1) 
cabal	8 (4) 
cabby	7 (8) 
cabin	8 (9) 
cable	8 (7) 
cacao	9 (11) 
cache	9 (11) 
cacti	8 (11) 
caddy	8 (6) 
cadet	8 (5) 
cagey	7 (2) 
cairn	8 (7) 
camel	8 (10) 
cameo	8 (10) 
canal	7 (1) 
candy	8 (3) 
canny	8 (7) 
canoe	9 (8) 
canon	9 (11) 
caper	9 (5) 
caput	8 (4) 
carat	8 (2) 
cargo	8 (3) 
carol	6 (0) 
carry	7 (2) 
carve	8 (4) 
caste	7 (6) 
catch	8 (4) 
cater	8 (6) 
catty	7 (6) 
caulk	8 (3) 
cause	9 (9) 
cavil	9 (5) 
cease	6 (0) 
cedar	9 (4) 
cello	8 (4) 
chafe	9 (9) 
chaff	9 (11) 
chain	9 (8) 
chair	8 (9) 
chalk	6 (0) 
champ	8 (4) 
chant	7 (3) 
chaos	8 (3) 
chard	8 (6) 
charm	8 (7) 
chart	8 (2) 
chase	9 (4) 
chasm	8 (5) 
cheap	6 (0) 
cheat	6 (0) 
check	7 (6) 
cheek	7 (6) 
cheer	7 (2) 
chess	7 (4) 
chest	6 (0) 
chick	8 (6) 
chide	9 (3) 
chief	8 (3) 
child	8 (5) 
chili	8 (7) 
chill	8 (7) 
chime	8 (5) 
china	8 (4) 
chirp	8 (3) 
chock	6 (0) 
choir	7 (3) 
choke	8 (2) 
chord	7 (1) 
chore	7 (1) 
chose	8 (3) 
chuck	8 (3) 
chump	7 (4) 
chunk	7 (2) 
churn	8 (3) 
chute	7 (2) 
cider	9 (7) 
cigar	8 (4) 
cinch	8 (7) 
circa	9 (9) 
civic	9 (11) 
civil	8 (9) 
clack	7 (1) 
claim	6 (0) 
clamp	6 (0) 
clang	7 (1) 
clank	7 (1) 
clash	7 (2) 
clasp	7 (4) 
class	7 (4) 
clean	7 (1) 
clear	9 (4) 
cleat	6 (0) 
cleft	7 (1) 
clerk	7 (3) 
click	8 (4) 
cliff	7 (5) 
climb	7 (1) 
cling	7 (6) 
clink	7 (3) 
cloak	6 (0) 
clock	7 (1) 
clone	8 (3) 
close	6 (0) 
cloth	8 (3) 
cloud	7 (3) 
clout	8 (3) 
clove	9 (7) 
clown	7 (1) 
cluck	8 (2) 
clued	9 (8) 
clump	8 (2) 
clung	8 (5) 
coach	9 (8) 
coast	8 (3) 
cobra	8 (3) 
cocoa	9 (6) 
colon	7 (4) 
color	8 (10) 
comet	8 (4) 
comfy	7 (1) 
comic	8 (3) 
comma	8 (5) 
conch	8 (3) 
condo	8 (3) 
conic	8 (4) 
copse	8 (2) 
coral	8 (5) 
corer	8 (9) 
corny	7 (3) 
couch	8 (4) 
cough	7 (2) 
could	7 (4) 
count	7 (5) 
coupe	9 (3) 
court	8 (4) 
coven	8 (4) 
cover	8 (7) 
covet	8 (5) 
covey	7 (5) 
cower	8 (4) 
coyly	7 (3) 
crack	9 (6) 
craft	7 (4) 
cramp	9 (5) 
crane	9 (8) 
